# R[Mpc/h], R/R200c, Pth1h, Pth2h, (Pth1h+Pth2h) 
# Pth in [g cm^-1 s^-2]
1.405884348987115340e+00 6.815644132422619350e+00 1.870774546300981254e-17 5.492357725031785165e-16 5.679435179661883691e-16
1.618728771408821432e+00 7.847501297517696095e+00 1.112003768797065043e-17 4.881465313820262139e-16 4.992665690699968428e-16
1.863796860157468815e+00 9.035576890170197828e+00 6.582210062951389171e-18 4.296417615977400381e-16 4.362239716606914311e-16
2.145967130064388773e+00 1.040352166160234049e+01 3.881780661091152207e-18 3.761716869789692531e-16 3.800534676400604291e-16
2.470856680661916105e+00 1.197856697796196634e+01 2.281786777588472656e-18 3.263605773390448506e-16 3.286423641166333313e-16
2.844933014509146041e+00 1.379206690894910992e+01 1.337440595082083964e-18 2.812805965073903726e-16 2.826180371024724337e-16
3.275642784297754240e+00 1.588012238616655125e+01 7.819537319455750463e-19 2.402339741052161131e-16 2.410159278371616785e-16
3.771560031677307023e+00 1.828429985617308517e+01 4.561727097149879930e-19 2.038521685151300300e-16 2.043083412248450141e-16
4.342556868756759947e+00 2.105245873430290615e+01 2.656062317578981150e-19 1.710903946892472661e-16 1.713560009210051581e-16
5.000000000000000888e+00 2.423970413118627221e+01 1.543877958545050057e-19 1.431070348851878908e-16 1.432614226810423945e-16
