# R[Mpc], R/R200c, rho1h, rho2h, (rho1h+rho2h) 
# rho in [g/cm3]
6.985947361676432543e-02 2.397602353356304006e-01 2.319041428673414277e-27 1.704974060585280887e-29 2.336091169279267237e-27
8.158179714469422639e-02 2.799916728519648568e-01 1.870089601189365922e-27 1.680082750318465802e-29 1.886890428692550468e-27
9.527111042761822468e-02 3.269738902145274961e-01 1.477395361481540202e-27 1.648288286792056692e-29 1.493878244349460848e-27
1.112574716393304325e-01 3.818396589906712935e-01 1.142427075265134365e-27 1.613721981177496290e-29 1.158564295076909249e-27
1.299263222609410018e-01 4.459118282577606007e-01 8.641320825686196211e-28 1.573818817783114169e-29 8.798702707464507964e-28
1.517277803236215528e-01 5.207352193477530200e-01 6.391361408317029628e-28 1.529592272151952460e-29 6.544320635532224874e-28
1.771874930446940555e-01 6.081138724860303268e-01 4.622079323594072381e-28 1.479834551473683922e-29 4.770062778741440437e-28
2.069193105211186157e-01 7.101545433649606442e-01 3.268966107493856894e-28 1.425455286487963125e-29 3.411511636142653038e-28
2.416400860513061855e-01 8.293174983826417934e-01 2.262218876980330777e-28 1.366866378908484214e-29 2.398905514871179114e-28
2.821869599305631415e-01 9.684758332528013991e-01 1.533009419058558571e-28 1.302647399278200968e-29 1.663274158986378695e-28
3.295375434436236262e-01 1.130984745195797281e+00 1.018291656218495075e-28 1.235035601513039976e-29 1.141795216369799045e-28
3.848334897033505730e-01 1.320762428907931829e+00 6.637805934093373410e-29 1.163871673384639176e-29 7.801677607478012866e-29
4.494080196437306718e-01 1.542384546763081232e+00 4.251725102121063828e-29 1.089277677790441899e-29 5.341002779911505867e-29
5.248180668366125845e-01 1.801194550984149156e+00 2.679733198146699172e-29 1.012742079709682461e-29 3.692475277856381352e-29
6.128818161644512541e-01 2.103432517723047734e+00 1.664239138631027708e-29 9.353108805623103029e-30 2.599550019193338151e-29
7.157225414306788158e-01 2.456385599321999180e+00 1.019875357309272786e-29 8.572044537714910145e-30 1.877079811080763800e-29
8.358197988607614093e-01 2.868563722257218451e+00 6.175587607676562217e-30 7.796969239784439969e-30 1.397255684746100219e-29
9.760692108022782643e-01 3.349904766955735802e+00 3.699766385526049505e-30 7.035692484054912993e-30 1.073545886958096180e-29
1.139852281047596616e+00 3.912014176503107787e+00 2.195658642180159914e-30 6.292450222001252737e-30 8.488108864181413352e-30
1.331117925071608088e+00 4.568444771362518253e+00 1.292228541064678066e-30 5.594767664777120890e-30 6.886996205841799307e-30
1.554477680931142913e+00 5.335023516618621287e+00 7.549959969095844163e-31 4.925652863240818392e-30 5.680648860150402546e-30
1.815316896422285664e+00 6.230233120315234352e+00 4.383130505520514942e-31 4.299888867848795208e-30 4.738201918400846528e-30
2.119924573289651004e+00 7.275657663468868108e+00 2.530579090264792796e-31 3.725343497045753813e-30 3.978401406072232917e-30
2.475644999115283795e+00 8.496503006185246676e+00 1.454026003712626585e-31 3.191162949952834104e-30 3.336565550324096500e-30
2.891054822829829174e+00 9.922204517205953422e+00 8.320021465504786580e-32 2.707571421694677507e-30 2.790771636349725264e-30
3.376169843250778957e+00 1.158713677963663713e+01 4.743788475578066390e-32 2.280459379944545510e-30 2.327897264700326048e-30
3.942686496452824318e+00 1.353144238431959501e+01 2.696446882619711672e-32 1.894891623624086782e-30 1.921856092450283816e-30
4.604263864386632932e+00 1.580199979359375462e+01 1.528667088917815013e-32 1.565249338363612686e-30 1.580536009252790921e-30
5.376853004155713656e+00 1.845355361126144800e+01 8.646733763595156729e-33 1.269869640487003310e-30 1.278516374250598531e-30
6.279081538292701659e+00 2.155003451030009742e+01 4.881471678259856630e-33 1.026997558383766982e-30 1.031879030062026755e-30
7.332702778754716100e+00 2.516610064262735946e+01 2.751254933337940362e-33 8.111015869204925084e-31 8.138528418538304734e-31
8.563120213307023221e+00 2.938893769530350042e+01 1.548449562149520891e-33 6.418353280984522749e-31 6.433837776606018256e-31
1.000000000000000000e+01 3.432036099368699666e+01 8.704411541640773968e-34 4.886877399310771219e-31 4.895581810852412047e-31
