# R[Mpc], R/R200c, Pth1h, Pth2h, (Pth1h+Pth2h) 
# Pth in [g cm^-1 s^-2]
1.815316896422285664e+00 4.944939304597760987e+00 1.564591195331077606e-16 2.460767713240444928e-15 2.617226832773552812e-15
2.119924573289651004e+00 5.774693314375487496e+00 7.713536021313264409e-17 2.106955558778374572e-15 2.184090918991507389e-15
2.475644999115283795e+00 6.743678905034714788e+00 3.759716421272576126e-17 1.787326088266474718e-15 1.824923252479200387e-15
2.891054822829829174e+00 7.875258944228176183e+00 1.814174079036087343e-17 1.506468275976701227e-15 1.524610016767062169e-15
3.376169843250778957e+00 9.196716556647306362e+00 8.676573222565302124e-18 1.256789667540081152e-15 1.265466240762646385e-15
3.942686496452824318e+00 1.073991293775800315e+01 4.117522932320709575e-18 1.038484043380940622e-15 1.042601566313261256e-15
4.604263864386632932e+00 1.254205554777599829e+01 1.940738166452411571e-18 8.536090924366046194e-16 8.555498306030570444e-16
5.376853004155713656e+00 1.464659520753399491e+01 9.093259874813123288e-19 6.893922600849909211e-16 6.903015860724722823e-16
6.279081538292701659e+00 1.710427372580068806e+01 4.238670592601083588e-19 5.566428963603913018e-16 5.570667634196513700e-16
7.332702778754716100e+00 1.997434731702212574e+01 1.966949877447361391e-19 4.383289573237637953e-16 4.385256523115085323e-16
8.563120213307023221e+00 2.332601530687632518e+01 9.092235462949059589e-20 3.456652283808327443e-16 3.457561507354622446e-16
1.000000000000000000e+01 2.724008857265354777e+01 4.188799553656216172e-20 2.635433594443407015e-16 2.635852474398772396e-16
